-0.022627,0.007033,-0.099669
0.001402,-0.160697,0.981834
0.187623,0.338257,1.013914
0.645018,0.683563,1.366850
0.335309,1.028869,1.792265
0.381103,1.374176,1.858003
0.186607,1.719482,2.073693
-0.012515,2.064788,2.219995
-0.527517,2.410095,1.892993
-0.250945,2.755401,1.453747
-0.358984,3.197550,1.181576
-0.150159,3.125997,0.740148
0.242368,3.746278,0.421079
0.524566,3.324810,0.421079
0.872511,3.904372,0.740148
1.125048,4.008095,0.723096
1.516221,4.470432,0.710475
1.934877,4.553561,1.143175
1.682618,5.104055,1.414500
1.999083,4.842093,2.016270
